iter	Passed	Remaining
401	20479	30465
402	20523	30403
403	20566	30341
404	20611	30280
405	20669	30241
406	20726	30198
407	20772	30140
408	20816	30079
409	20860	30018
410	20915	29973
411	20961	29915
412	21007	29858
413	21051	29797
414	21107	29753
415	21159	29704
416	21206	29648
417	21250	29588
418	21305	29542
419	21368	29508
420	21417	29455
421	21460	29393
422	21502	29330
423	21544	29267
424	21594	29216
425	21655	29178
426	21699	29118
427	21742	29057
428	21785	28996
429	21844	28956
430	21892	28901
431	21935	28841
432	21979	28781
433	22024	28723
434	22076	28673
435	22132	28630
436	22176	28570
437	22223	28514
438	22267	28455
439	22322	28410
440	22376	28363
441	22418	28302
442	22459	28239
443	22502	28178
444	22558	28134
445	22619	28096
446	22663	28037
447	22706	27978
448	22752	27920
449	22810	27879
450	22865	27834
451	22909	27774
452	22952	27715
453	23005	27667
454	23063	27625
455	23110	27570
456	23154	27511
457	23200	27455
458	23245	27398
459	23302	27355
460	23355	27306
461	23398	27247
462	23441	27188
463	23484	27128
464	23539	27083
465	23594	27037
466	23639	26980
467	23682	26921
468	23726	26862
469	23778	26813
470	23831	26766
471	23875	26708
472	23919	26650
473	23962	26591
474	24021	26549
475	24070	26497
476	24114	26440
477	24157	26381
478	24204	26326
479	24263	26285
480	24319	26240
481	24367	26187
482	24409	26127
483	24450	26067
484	24511	26027
485	24555	25970
486	24599	25912
487	24641	25853
488	24686	25796
489	24740	25750
490	24795	25704
491	24839	25647
492	24882	25589
493	24926	25532
494	24988	25493
495	25033	25437
496	25086	25388
497	25129	25331
498	25174	25275
499	25230	25230
500	25280	25179
501	25325	25123
502	25375	25073
503	25417	25014
504	25476	24971
505	25530	24924
506	25572	24866
507	25615	24808
508	25658	24751
509	25718	24709
510	25763	24654
511	25806	24597
512	25850	24540
513	25893	24483
514	25950	24438
515	25996	24384
516	26041	24328
517	26084	24272
518	26128	24215
519	26186	24171
520	26248	24132
521	26292	24076
522	26341	24024
523	26385	23968
524	26445	23926
525	26489	23870
526	26531	23813
527	26574	23755
528	26617	23699
529	26662	23643
530	26725	23605
531	26769	23549
532	26813	23492
533	26856	23436
534	26910	23389
535	26962	23340
536	27006	23284
537	27051	23230
538	27094	23173
539	27148	23126
540	27203	23080
541	27247	23024
542	27292	22969
543	27338	22916
544	27397	22873
545	27441	22817
546	27482	22759
547	27524	22702
548	27567	22646
549	27612	22592
550	27670	22548
551	27719	22497
552	27762	22441
553	27805	22384
554	27860	22338
555	27914	22291
556	27958	22236
557	28003	22181
558	28045	22125
559	28097	22076
560	28153	22030
561	28200	21978
562	28245	21924
563	28291	21870
564	28359	21834
565	28413	21787
566	28457	21731
567	28499	21675
568	28543	21620
569	28598	21574
570	28654	21528
571	28702	21476
572	28752	21426
573	28802	21376
574	28864	21334
575	28915	21285
576	28967	21236
577	29022	21189
578	29080	21144
579	29129	21093
580	29178	21042
581	29226	20990
582	29286	20947
583	29349	20906
584	29403	20859
585	29465	20817
586	29525	20773
587	29575	20723
588	29627	20673
589	29685	20628
590	29750	20588
591	29802	20539
592	29857	20492
593	29920	20450
594	29981	20407
595	30032	20357
596	30076	20302
597	30119	20247
598	30179	20203
599	30226	20151
600	30270	20096
601	30319	20044
602	30368	19994
603	30423	19946
604	30470	19894
605	30513	19838
606	30557	19784
607	30600	19729
608	30655	19681
609	30711	19635
610	30756	19581
611	30799	19526
612	30842	19471
613	30898	19424
614	30947	19373
615	30991	19319
616	31034	19264
617	31078	19210
618	31133	19162
619	31183	19112
620	31227	19058
621	31269	19002
622	31315	18950
623	31367	18900
624	31419	18851
625	31462	18797
626	31504	18742
627	31549	18688
628	31605	18641
629	31656	18592
630	31700	18537
631	31744	18484
632	31787	18429
633	31849	18386
634	31897	18334
635	31940	18280
636	31995	18232
637	32038	18178
638	32096	18132
639	32148	18083
640	32192	18029
641	32236	17975
642	32279	17921
643	32338	17876
644	32387	17825
645	32430	17771
646	32472	17716
647	32515	17662
648	32563	17611
649	32618	17563
650	32664	17511
651	32710	17458
652	32755	17405
653	32814	17360
654	32870	17313
655	32914	17259
656	32957	17206
657	33000	17152
658	33056	17105
659	33106	17055
660	33150	17001
661	33198	16950
662	33251	16901
663	33335	16868
664	33391	16821
665	33441	16770
666	33497	16723
667	33561	16680
668	33627	16638
669	33680	16588
670	33737	16542
671	33797	16496
672	33870	16456
673	33932	16412
674	33989	16365
675	34065	16327
676	34120	16279
677	34179	16232
678	34232	16183
679	34306	16144
680	34374	16101
681	34424	16051
682	34480	16003
683	34547	15960
684	34610	15915
685	34660	15865
686	34721	15819
687	34785	15775
688	34849	15730
689	34901	15680
690	34947	15627
691	34996	15576
692	35050	15527
693	35094	15474
694	35142	15422
695	35196	15373
696	35274	15334
697	35333	15287
698	35385	15237
699	35464	15199
700	35535	15157
701	35600	15112
702	35645	15059
703	35708	15013
704	35761	14963
705	35810	14912
706	35854	14859
707	35899	14806
708	35954	14757
709	36007	14707
710	36051	14653
711	36095	14600
712	36141	14547
713	36196	14498
714	36255	14451
715	36304	14400
716	36346	14346
717	36389	14292
718	36444	14243
719	36495	14192
720	36539	14139
721	36583	14086
722	36626	14032
723	36679	13982
724	36732	13933
725	36777	13880
726	36824	13827
727	36866	13774
728	36924	13726
729	36970	13674
730	37013	13620
731	37056	13567
732	37100	13514
733	37153	13464
734	37209	13415
735	37256	13363
736	37298	13310
737	37340	13256
738	37397	13208
739	37444	13156
740	37487	13102
741	37530	13049
742	37573	12996
743	37642	12952
744	37694	12902
745	37738	12849
746	37780	12795
747	37822	12742
748	37872	12691
749	37926	12642
750	37970	12589
751	38013	12536
752	38055	12483
753	38105	12432
754	38165	12384
755	38210	12332
756	38254	12279
757	38299	12227
758	38350	12177
759	38401	12126
760	38444	12073
761	38487	12021
762	38530	11968
763	38587	11919
764	38636	11868
765	38682	11816
766	38726	11764
767	38770	11711
768	38820	11661
769	38872	11611
770	38917	11559
771	38960	11506
772	39003	11453
773	39053	11403
774	39107	11353
775	39154	11302
776	39199	11250
777	39245	11198
778	39308	11151
779	39354	11099
780	39396	11047
781	39438	10994
782	39480	10941
783	39528	10890
784	39585	10841
785	39629	10789
786	39672	10737
787	39716	10685
788	39771	10635
789	39818	10584
790	39862	10532
791	39906	10480
792	39948	10428
793	40008	10380
794	40058	10329
795	40102	10277
796	40148	10226
